ID;title;artist;year;place
282;Want to Want Me;Jason Derulo;2015;14
283;My House;Flo Rida;2015;15
284;Waves - Robin Schulz Radio Edit;Mr. Probz;2015;16
285;Night Changes;One Direction;2015;17
286;How Deep Is Your Love;Calvin Harris;2015;18
287;Never Forget You;Zara Larsson;2015;19
288;Love Me Harder;Ariana Grande;2015;20
289;Animals;Maroon 5;2015;21
290;Blame;Calvin Harris;2015;22
291;Worth It;Fifth Harmony;2015;23
292;Break Free;Ariana Grande;2015;24
293;Don't;Ed Sheeran;2015;25
294;Elastic Heart;Sia;2015;26
295;Rather Be (feat. Jess Glynne);Clean Bandit;2015;27
296;Hello;Adele;2015;28
297;Dear Future Husband;Meghan Trainor;2015;29
298;43776;Beyonc�;2015;30
299;The Heart Wants What It Wants;Selena Gomez;2015;31
300;Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack);David Guetta;2015;32
301;Genie In a Bottle;Christina Aguilera;2015;33
302;Company;Justin Bieber;2015;34
303;Sing;Ed Sheeran;2015;35
304;Jealous - Remix;Nick Jonas;2015;36
305;Really Don't Care;Demi Lovato;2015;37
306;Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally);Macklemore & Ryan Lewis;2015;38
307;Only Love Can Hurt Like This;Paloma Faith;2015;39
308;Heartbeat Song;Kelly Clarkson;2015;40
309;Up;Olly Murs;2015;41
310;Trumpets;Jason Derulo;2015;42
311;Runnin' (Lose It All);Naughty Boy;2015;43
312;Same Old Love;Selena Gomez;2015;44
313;I Want You To Know;Zedd;2015;45
314;Lips Are Movin;Meghan Trainor;2015;46
315;I'll Show You;Justin Bieber;2015;47
316;Here;Alessia Cara;2015;48
317;I Lived;OneRepublic;2015;49
318;Fireball (feat. John Ryan);Pitbull;2015;50
319;Easy Love;Sigala;2015;51
320;The Feeling;Justin Bieber;2015;52
321;I Really Like You;Carly Rae Jepsen;2015;53
322;BO$$;Fifth Harmony;2015;54
323;Sugar;Maroon 5;2015;55
324;Focus;Ariana Grande;2015;56
325;All About That Bass;Meghan Trainor;2015;57
326;On My Mind;Ellie Goulding;2015;58
327;Love Me Like You;Little Mix;2015;59
328;Broken Arrows;Avicii;2015;60
329;Booty;Jennifer Lopez;2015;61
330;What Do You Mean? - Acoustic;Justin Bieber;2015;62
331;Mark My Words;Justin Bieber;2015;63
332;Lay It All on Me;Rudimental;2015;64
333;American Oxygen;Rihanna;2015;65
334;Bang Bang;Jessie J;2015;66
335;Reality - Radio Edit;Lost Frequencies;2015;67
336;Alive;Sia;2015;68
337;Sugar (feat. Francesco Yates);Robin Schulz;2015;69
338;Been You;Justin Bieber;2015;70
339;Prayer in C - Robin Schulz Radio Edit;Lilly Wood and The Prick;2015;71
340;See You Again (feat. Charlie Puth);Wiz Khalifa;2015;72
341;Heroes (we could be);Alesso;2015;73
342;"Feel The Light - From The ""Home"" Soundtrack";Jennifer Lopez;2015;74
343;Perfect;One Direction;2015;75
344;Ghosttown;Madonna;2015;76
345;Bang My Head (feat. Sia & Fetty Wap);David Guetta;2015;77
346;Bloodstream;Ed Sheeran;2015;78
347;Living For Love;Madonna;2015;79
348;Baby Don't Lie;Gwen Stefani;2015;80
349;Don't Be so Hard on Yourself;Jess Glynne;2015;81
350;Steal My Girl;One Direction;2015;82
351;"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")";Pitbull;2015;83
352;We Are Here;Alicia Keys;2015;84
353;St Jude;Florence + The Machine;2015;85
354;Yesterday (feat. Bebe Rexha);David Guetta;2015;86
355;Time of Our Lives;Pitbull;2015;87
356;Sparks;Hilary Duff;2015;88
357;Mr. Put It Down;Ricky Martin;2015;89
358;Legendary Lovers;Katy Perry;2015;90
359;Spark The Fire;Gwen Stefani;2015;91
360;Run Run Run;Kelly Clarkson;2015;92
361;Let Me Be Your Lover;Enrique Iglesias;2015;93
362;Dangerous;Jennifer Hudson;2015;94
363;L.A.LOVE (la la);Fergie;2015;95
364;The Hills;The Weeknd;2016;1
365;Love Yourself;Justin Bieber;2016;2
366;Cake By The Ocean;DNCE;2016;3
367;Don't Let Me Down;The Chainsmokers;2016;4
368;In the Name of Love;Martin Garrix;2016;5
369;Into You;Ariana Grande;2016;6
370;This Is What You Came For;Calvin Harris;2016;7
371;Million Reasons;Lady Gaga;2016;8
372;Needed Me;Rihanna;2016;9
373;7 Years;Lukas Graham;2016;10
374;"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;2016;11
375;Work from Home (feat. Ty Dolla $ign);Fifth Harmony;2016;12
376;Scars To Your Beautiful;Alessia Cara;2016;13
377;Like I'm Gonna Lose You (feat. John Legend);Meghan Trainor;2016;14
378;Work;Rihanna;2016;15
379;Stitches;Shawn Mendes;2016;16
380;Me, Myself & I;G-Eazy;2016;17
381;I Took A Pill In Ibiza - Seeb Remix;Mike Posner;2016;18
382;Dangerous Woman;Ariana Grande;2016;19
383;Starving;Hailee Steinfeld;2016;20
384;Shout Out to My Ex;Little Mix;2016;21
385;Electric Love;B�RNS;2016;22
386;Confident;Demi Lovato;2016;23
387;Too Good;Drake;2016;24
388;Roses;The Chainsmokers;2016;25
389;Cold Water (feat. Justin Bieber & M�);Major Lazer;2016;26
390;Me Too;Meghan Trainor;2016;27
391;Light It Up (feat. Nyla & Fuse ODG) [Remix];Major Lazer;2016;28
392;Ain't Your Mama;Jennifer Lopez;2016;29
393;Close;Nick Jonas;2016;30
394;Toothbrush;DNCE;2016;31
395;All We Know;The Chainsmokers;2016;32
396;Final Song;M�;2016;33
397;Company;Justin Bieber;2016;34
398;Hands To Myself;Selena Gomez;2016;35
399;All I Ask;Adele;2016;36
400;"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")";P!nk;2016;37
401;NO;Meghan Trainor;2016;38
402;Kill Em With Kindness;Selena Gomez;2016;39
403;Cool Girl;Tove Lo;2016;40
404;Runnin' (Lose It All);Naughty Boy;2016;41
405;Here;Alessia Cara;2016;42
406;Perfect Illusion;Lady Gaga;2016;43
407;PILLOWTALK;ZAYN;2016;44
408;Out Of The Woods;Taylor Swift;2016;45
409;Rise;Katy Perry;2016;46
410;Wherever I Go;OneRepublic;2016;47
411;Body Say;Demi Lovato;2016;48
412;Don't Be A Fool;Shawn Mendes;2016;49
413;LIKE I WOULD;ZAYN;2016;50
414;Cheap Thrills;Sia;2016;51
415;I Got You;Bebe Rexha;2016;52
416;Run Away With Me;Carly Rae Jepsen;2016;53
417;Cruel (feat. ZAYN);Snakehips;2016;54
418;Send My Love (To Your New Lover);Adele;2016;55
419;WTF (Where They From);Missy Elliott;2016;56
420;Desire;Years & Years;2016;57
421;When We Were Young;Adele;2016;58
422;I Know What You Did Last Summer;Shawn Mendes;2016;59
423;Wish That You Were Here - From �Miss Peregrine�s Home for Peculiar Children� Original Motion Picture;Florence + The Machine;2016;60
424;Hurts;Emeli Sand�;2016;61
425;Change;Christina Aguilera;2016;62
426;Make Me... (feat. G-Eazy);Britney Spears;2016;63
427;Keeping Your Head Up;Birdy;2016;64
428;True Colors;Zedd;2016;65
429;Make Me Like You;Gwen Stefani;2016;66
430;Champagne Problems;Nick Jonas;2016;67
431;Blown;DNCE;2016;68
432;Start;John Legend;2016;69
433;Pep Rally;Missy Elliott;2016;70
434;Higher;Carly Rae Jepsen;2016;71
435;Invitation;Britney Spears;2016;72
436;One Call Away (feat. Tyga) - Remix;Charlie Puth;2016;73
437;Beautiful Birds (feat. Birdy);Passenger;2016;74
438;Little Lies;Hilary Duff;2016;75
439;Do You Wanna Come Over?;Britney Spears;2016;76
440;BURNITUP!;Janet Jackson;2016;77
441;Picky - Remix;Joey Montana;2016;78
442;Behind Your Back;Nelly Furtado;2016;79
443;Million Years Ago;Adele;2016;80
444;Shape of You;Ed Sheeran;2017;1
445;Closer;The Chainsmokers;2017;2
446;Starboy;The Weeknd;2017;3
447;Treat You Better;Shawn Mendes;2017;4
448;That's What I Like;Bruno Mars;2017;5
449;Let Me Love You;DJ Snake;2017;6
450;I Feel It Coming;The Weeknd;2017;7
451;Mercy;Shawn Mendes;2017;8
452;Side To Side;Ariana Grande;2017;9
453;Stay;Zedd;2017;10
454;It Ain't Me (with Selena Gomez);Kygo;2017;11
455;Malibu;Miley Cyrus;2017;12
456;Something Just Like This;The Chainsmokers;2017;13
457;Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;2017;14
458;I Don�t Wanna Live Forever (Fifty Shades Darker);ZAYN;2017;15
459;My Way;Calvin Harris;2017;16
460;I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne);DJ Khaled;2017;17
461;Praying;Kesha;2017;18
462;Despacito - Remix;Luis Fonsi;2017;19
463;The Greatest;Sia;2017;20
464;There for You;Martin Garrix;2017;21
465;Paris;The Chainsmokers;2017;22
466;Crying in the Club;Camila Cabello;2017;23
467;Mama;Jonas Blue;2017;24
468;Slide (feat. Frank Ocean & Migos);Calvin Harris;2017;25
469;Swish Swish;Katy Perry;2017;26
470;Chained To The Rhythm;Katy Perry;2017;27
471;Cold (feat. Future);Maroon 5;2017;28
472;Love;Lana Del Rey;2017;29
473;Reggaet�n Lento (Remix);CNCO;2017;30
474;All I Ask;Adele;2017;31
475;First Time;Kygo;2017;32
476;The Cure;Lady Gaga;2017;33
477;"How Far I'll Go - From ""Moana""";Alessia Cara;2017;34
478;Bodak Yellow;Cardi B;2017;35
479;Rich Love (with Seeb);OneRepublic;2017;36
480;Tired;Alan Walker;2017;37
481;Came Here for Love;Sigala;2017;38
482;24K Magic;Bruno Mars;2017;39
483;Strip That Down (feat. Quavo);Liam Payne;2017;40
484;Cut To The Feeling;Carly Rae Jepsen;2017;41
485;OK - Spotify Version;Robin Schulz;2017;42
486;Bon app�tit;Katy Perry;2017;43
487;Summer Bummer (feat. A$AP Rocky & Playboi Carti);Lana Del Rey;2017;44
488;Get Low (with Liam Payne);Zedd;2017;45
489;Kissing Strangers;DNCE;2017;46
490;Slow Hands;Niall Horan;2017;47
491;Younger Now;Miley Cyrus;2017;48
492;Body Moves;DNCE;2017;49
493;Reality (feat. Janieck Devy) - Radio Edit;Lost Frequencies;2017;50
494;Angel;Fifth Harmony;2017;51
495;Touch (feat. Kid Ink);Little Mix;2017;52
496;We Don't Talk Anymore - DROELOE Remix;Charlie Puth;2017;53
497;Love Incredible (feat. Camila Cabello);Cashmere Cat;2017;54
498;No Vacancy (with Sebasti�n Yatra);OneRepublic;2017;55
499;Rich Boy;Galantis;2017;56
500;Lust for Life (with The Weeknd);Lana Del Rey;2017;57
501;Greenlight (feat. Flo Rida & LunchMoney Lewis);Pitbull;2017;58
502;Influence;Tove Lo;2017;59
503;Remember I Told You;Nick Jonas;2017;60
504;Messin' Around;Pitbull;2017;61
505;Water Under the Bridge;Adele;2017;62
506;Free Me;Sia;2017;63
507;Kissing Strangers - Remix;DNCE;2017;64
508;A L I E N S;Coldplay;2017;65
509;One Kiss (with Dua Lipa);Calvin Harris;2018;1
510;Havana (feat. Young Thug);Camila Cabello;2018;2
511;I Like It;Cardi B;2018;3
512;New Rules;Dua Lipa;2018;4
513;There's Nothing Holdin' Me Back;Shawn Mendes;2018;5
514;no tears left to cry;Ariana Grande;2018;6
515;IDGAF;Dua Lipa;2018;7
516;In My Blood;Shawn Mendes;2018;8
517;Wolves;Selena Gomez;2018;9
518;Dusk Till Dawn - Radio Edit;ZAYN;2018;10
519;Attention;Charlie Puth;2018;11
520;Electricity (with Dua Lipa);Silk City;2018;12
521;Love On The Brain;Rihanna;2018;13
522;Let Me Go (with Alesso, Florida Georgia Line & watt);Hailee Steinfeld;2018;14
523;Silence;Marshmello;2018;15
524;Sorry Not Sorry;Demi Lovato;2018;16
525;Shallow - Radio Edit;Lady Gaga;2018;17
526;These Days;Rudimental;2018;18
527;What Lovers Do (feat. SZA);Maroon 5;2018;19
528;Finesse - Remix;;;20
529;Perfect Duet (Ed Sheeran & Beyonc�);Ed Sheeran;2018;21
530;Bad At Love;Halsey;2018;22
531;Him & I (with Halsey);G-Eazy;2018;23
532;Friends (with BloodPop�);Justin Bieber;2018;24
533;Wild Thoughts (feat. Rihanna & Bryson Tiller);DJ Khaled;2018;25
534;My My My!;Troye Sivan;2018;26
535;Capital Letters;Hailee Steinfeld;2018;27
536;Sick Boy;The Chainsmokers;2018;28
537;Tequila;Dan + Shay;2018;29
538;Look What You Made Me Do;Taylor Swift;2018;30
539;Youth (feat. Khalid);Shawn Mendes;2018;31
540;Bad Liar;Selena Gomez;2018;32
541;Anywhere;Rita Ora;2018;33
542;Say Something;Justin Timberlake;2018;34
543;Chun-Li;Nicki Minaj;2018;35
544;Sign of the Times;Harry Styles;2018;36
545;Familiar;Liam Payne;2018;37
546;Let Me;ZAYN;2018;38
547;Supernova;Ansel Elgort;2018;39
548;Nervous;Shawn Mendes;2018;40
549;First Time;Kygo;2018;41
550;End Game;Taylor Swift;2018;42
551;Mi Gente (feat. Beyonc�);J Balvin;2018;43
552;Lemon;N.E.R.D;2018;44
553;For You (With Rita Ora);Liam Payne;2018;45
554;Want To;Dua Lipa;2018;46
555;What I Need (feat. Kehlani);Hayley Kiyoko;2018;47
556;Wait;Maroon 5;2018;48
557;What About Us;P!nk;2018;49
558;Kissing Strangers;DNCE;2018;50
559;2U (feat. Justin Bieber);David Guetta;2018;51
560;Walk On Water (feat. Beyonc�);Eminem;2018;52
561;This Town;Niall Horan;2018;53
562;Girls (feat. Cardi B, Bebe Rexha & Charli XCX);Rita Ora;2018;54
563;MOVE TO MIAMI;Enrique Iglesias;2018;55
564;Miss You (with Major Lazer & Tory Lanez);Cashmere Cat;2018;56
565;Filthy;Justin Timberlake;2018;57
566;Never Be the Same - Radio Edit;Camila Cabello;2018;58
567;Ferrari;Bebe Rexha;2018;59
568;Supplies;Justin Timberlake;2018;60
569;Boom Boom;RedOne;2018;61
570;...Ready For It? - BloodPop� Remix;Taylor Swift;2018;62
571;Drip (feat. Migos);Cardi B;2018;63
572;Tell Me You Love Me - NOTD Remix;Demi Lovato;2018;64
